address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
900 Block of JACKSON ST,SUSPICIOUS OCC,2017-03-18T00:00:00.000,Saturday,SUSPICIOUS OCCURRENCE,170224837,"{u'type': u'Point', u'coordinates': [-122.410494383, 37.7954857638]}",CENTRAL,17022483764070,NONE,20:25,-122.41049438267726,37.795485763803946
400 Block of BROADWAY ST,LARCENY/THEFT,2016-10-01T00:00:00.000,Saturday,PETTY THEFT OF PROPERTY,166227746,"{u'type': u'Point', u'coordinates': [-122.405065483, 37.7980134745]}",CENTRAL,16622774606372,NONE,23:00,-122.40506548307671,37.79801347454874
JEFFERSON ST / HYDE ST,ASSAULT,2006-07-09T00:00:00.000,Sunday,BATTERY,060729228,"{u'type': u'Point', u'coordinates': [-122.420747467, 37.8075877428]}",CENTRAL,6072922804134,NONE,00:01,-122.420747467177,37.8075877427735
300 Block of POWELL ST,PROSTITUTION,2017-01-26T00:00:00.000,Thursday,SOLICITS FOR ACT OF PROSTITUTION,170073032,"{u'type': u'Point', u'coordinates': [-122.408384276, 37.7878271137]}",CENTRAL,17007303213060,"ARREST, BOOKED",11:00,-122.40838427554218,37.78782711372249
BEACH ST / HYDE ST,LARCENY/THEFT,2017-02-21T00:00:00.000,Tuesday,GRAND THEFT FROM LOCKED AUTO,170147825,"{u'type': u'Point', u'coordinates': [-122.420564122, 37.8066567824]}",CENTRAL,17014782506244,NONE,07:31,-122.42056412231747,37.80665678244672
0 Block of BELDEN ST,NON-CRIMINAL,2016-10-07T00:00:00.000,Friday,LOST PROPERTY,166240663,"{u'type': u'Point', u'coordinates': [-122.403701987, 37.7912793098]}",CENTRAL,16624066371000,NONE,19:00,-122.4037019871344,37.79127930984089
JONES ST / POST ST,VEHICLE THEFT,2011-10-08T00:00:00.000,Saturday,STOLEN MOTORCYCLE,110814266,"{u'type': u'Point', u'coordinates': [-122.413358051, 37.7876637196]}",CENTRAL,11081426607023,NONE,21:00,-122.413358051141,37.7876637195721
300 Block of DRUMM ST,LARCENY/THEFT,2016-12-17T00:00:00.000,Saturday,GRAND THEFT FROM LOCKED AUTO,166298098,"{u'type': u'Point', u'coordinates': [-122.396980823, 37.7968124488]}",CENTRAL,16629809806244,NONE,14:45,-122.3969808230595,37.79681244881087
500 Block of BUSH ST,VANDALISM,2017-02-11T00:00:00.000,Saturday,"MALICIOUS MISCHIEF, VANDALISM",170161358,"{u'type': u'Point', u'coordinates': [-122.406742212, 37.7904732831]}",CENTRAL,17016135828150,NONE,19:00,-122.40674221199419,37.79047328306053
WAYNE PL / PACIFIC AV,NON-CRIMINAL,2017-03-13T00:00:00.000,Monday,LOST PROPERTY,170208530,"{u'type': u'Point', u'coordinates': [-122.410893324, 37.7963948897]}",CENTRAL,17020853071000,NONE,22:37,-122.41089332402744,37.79639488972242
